  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -6.250  -0.4342   0.00964   0.00402  -0.0582   0.9607   0.0445
  -6.000  -0.4073   0.00939   0.00376  -0.0579   0.9544   0.0467
  -5.750  -0.3804   0.00916   0.00351  -0.0576   0.9477   0.0495
  -5.500  -0.3538   0.00887   0.00325  -0.0573   0.9407   0.0558
  -5.250  -0.3274   0.00860   0.00302  -0.0568   0.9327   0.0655
  -5.000  -0.3006   0.00836   0.00282  -0.0565   0.9247   0.0775
  -4.750  -0.2737   0.00816   0.00265  -0.0562   0.9158   0.0886
  -4.500  -0.2465   0.00798   0.00249  -0.0560   0.9066   0.0982
  -4.000  -0.1918   0.00768   0.00219  -0.0555   0.8864   0.1175
  -3.750  -0.1645   0.00752   0.00205  -0.0553   0.8758   0.1310
  -3.500  -0.1372   0.00737   0.00192  -0.0551   0.8645   0.1482
  -3.250  -0.1100   0.00719   0.00180  -0.0549   0.8525   0.1711
  -3.000  -0.0825   0.00704   0.00170  -0.0547   0.8404   0.1957
  -2.750  -0.0552   0.00689   0.00160  -0.0546   0.8278   0.2215
  -2.500  -0.0277   0.00678   0.00152  -0.0544   0.8151   0.2471
  -2.250  -0.0003   0.00666   0.00146  -0.0542   0.8016   0.2776
  -2.000   0.0272   0.00653   0.00140  -0.0541   0.7879   0.3097
  -1.750   0.0546   0.00640   0.00134  -0.0540   0.7740   0.3442
  -1.500   0.0819   0.00628   0.00129  -0.0538   0.7597   0.3795
  -1.250   0.1092   0.00616   0.00125  -0.0536   0.7451   0.4198
  -1.000   0.1362   0.00602   0.00122  -0.0534   0.7296   0.4712
  -0.750   0.1632   0.00589   0.00121  -0.0532   0.7137   0.5267
  -0.500   0.1903   0.00580   0.00120  -0.0530   0.6972   0.5727
  -0.250   0.2173   0.00573   0.00121  -0.0527   0.6799   0.6158
   0.000   0.2442   0.00568   0.00122  -0.0525   0.6618   0.6597
   0.250   0.2709   0.00563   0.00124  -0.0521   0.6430   0.7009
   0.500   0.2968   0.00556   0.00127  -0.0516   0.6240   0.7569
   0.750   0.3217   0.00548   0.00134  -0.0507   0.6051   0.8207
   1.000   0.3469   0.00547   0.00140  -0.0499   0.5862   0.8656
   1.250   0.3722   0.00552   0.00147  -0.0491   0.5680   0.8993
   1.500   0.3979   0.00559   0.00154  -0.0484   0.5517   0.9263
   1.750   0.4250   0.00569   0.00161  -0.0480   0.5373   0.9484
   2.000   0.4549   0.00581   0.00168  -0.0482   0.5228   0.9646
   2.750   0.5582   0.00624   0.00191  -0.0524   0.4730   0.9901
   3.000   0.5945   0.00639   0.00200  -0.0542   0.4573   0.9943
   3.250   0.6318   0.00654   0.00208  -0.0563   0.4371   0.9972
   3.500   0.6686   0.00674   0.00218  -0.0584   0.4148   1.0000
   3.750   0.6918   0.00692   0.00226  -0.0575   0.3916   1.0000
   4.000   0.7153   0.00711   0.00236  -0.0566   0.3698   1.0000
   4.250   0.7389   0.00730   0.00247  -0.0557   0.3502   1.0000
   4.500   0.7624   0.00752   0.00260  -0.0549   0.3292   1.0000
   4.750   0.7858   0.00776   0.00274  -0.0540   0.3054   1.0000
   5.000   0.8089   0.00804   0.00291  -0.0531   0.2805   1.0000
   5.250   0.8319   0.00836   0.00311  -0.0522   0.2542   1.0000
   5.500   0.8552   0.00869   0.00332  -0.0513   0.2278   1.0000
   5.750   0.8784   0.00906   0.00356  -0.0505   0.2013   1.0000
   6.000   0.9016   0.00945   0.00381  -0.0497   0.1762   1.0000
   6.250   0.9251   0.00983   0.00408  -0.0490   0.1528   1.0000
   6.500   0.9483   0.01025   0.00438  -0.0482   0.1290   1.0000
   6.750   0.9710   0.01073   0.00471  -0.0474   0.1052   1.0000
   7.000   0.9944   0.01114   0.00504  -0.0467   0.0892   1.0000
   7.250   1.0179   0.01153   0.00537  -0.0460   0.0774   1.0000
   7.500   1.0414   0.01194   0.00572  -0.0453   0.0671   1.0000
   7.750   1.0644   0.01238   0.00609  -0.0446   0.0583   1.0000
   8.000   1.0885   0.01270   0.00642  -0.0440   0.0541   1.0000
   8.250   1.1111   0.01317   0.00685  -0.0431   0.0491   1.0000
   8.500   1.1353   0.01347   0.00717  -0.0426   0.0470   1.0000
   8.750   1.1585   0.01385   0.00755  -0.0419   0.0447   1.0000
   9.000   1.1801   0.01435   0.00805  -0.0409   0.0419   1.0000
   9.250   1.2032   0.01471   0.00844  -0.0402   0.0407   1.0000
   9.500   1.2262   0.01506   0.00882  -0.0395   0.0395   1.0000
   9.750   1.2485   0.01545   0.00923  -0.0387   0.0382   1.0000
  10.000   1.2696   0.01591   0.00970  -0.0378   0.0367   1.0000
  10.250   1.2881   0.01655   0.01036  -0.0364   0.0350   1.0000
  10.500   1.3090   0.01697   0.01083  -0.0354   0.0342   1.0000
  10.750   1.3299   0.01737   0.01127  -0.0344   0.0334   1.0000
  11.000   1.3500   0.01780   0.01173  -0.0333   0.0324   1.0000
  11.250   1.3684   0.01825   0.01221  -0.0320   0.0313   1.0000
  11.500   1.3833   0.01884   0.01282  -0.0301   0.0302   1.0000
  11.750   1.3931   0.01974   0.01376  -0.0275   0.0289   1.0000
  12.000   1.4114   0.02015   0.01423  -0.0262   0.0283   1.0000
  12.250   1.4284   0.02066   0.01478  -0.0249   0.0275   1.0000
  12.500   1.4446   0.02122   0.01538  -0.0235   0.0266   1.0000
  12.750   1.4595   0.02187   0.01606  -0.0220   0.0256   1.0000
  13.000   1.4699   0.02284   0.01705  -0.0201   0.0245   1.0000
  13.250   1.4815   0.02375   0.01803  -0.0184   0.0237   1.0000
  13.500   1.4967   0.02445   0.01879  -0.0172   0.0230   1.0000
  13.750   1.5106   0.02526   0.01965  -0.0160   0.0221   1.0000
  14.000   1.5228   0.02622   0.02064  -0.0147   0.0212   1.0000
  14.250   1.5311   0.02751   0.02196  -0.0133   0.0203   1.0000
  14.500   1.5386   0.02893   0.02345  -0.0120   0.0195   1.0000
  14.750   1.5499   0.03008   0.02468  -0.0110   0.0188   1.0000
  15.000   1.5597   0.03141   0.02607  -0.0101   0.0181   1.0000
  15.250   1.5675   0.03297   0.02767  -0.0093   0.0173   1.0000
  15.500   1.5712   0.03497   0.02971  -0.0084   0.0166   1.0000
  15.750   1.5723   0.03733   0.03215  -0.0077   0.0160   1.0000
  16.000   1.5775   0.03935   0.03427  -0.0073   0.0156   1.0000
  16.250   1.5806   0.04166   0.03666  -0.0070   0.0151   1.0000
  16.500   1.5820   0.04423   0.03933  -0.0069   0.0147   1.0000
  16.750   1.5815   0.04711   0.04228  -0.0070   0.0143   1.0000
  17.000   1.5784   0.05040   0.04566  -0.0073   0.0139   1.0000
  17.250   1.5716   0.05428   0.04963  -0.0080   0.0135   1.0000
  17.500   1.5603   0.05893   0.05438  -0.0090   0.0132   1.0000
  17.750   1.5483   0.06380   0.05937  -0.0104   0.0129   1.0000
  18.000   1.5415   0.06805   0.06374  -0.0116   0.0128   1.0000
  18.250   1.5328   0.07268   0.06849  -0.0130   0.0126   1.0000
  18.500   1.5214   0.07778   0.07370  -0.0148   0.0125   1.0000
  18.750   1.5083   0.08321   0.07925  -0.0167   0.0123   1.0000
  19.000   1.4942   0.08893   0.08508  -0.0189   0.0122   1.0000
  19.250   1.4781   0.09506   0.09134  -0.0213   0.0121   1.0000
